=== REPORTE VALIDACIONES ===
CÓDIGO: FAC-B-609655 -> VÁLIDO
CÓDIGO: ENV-2023-06-02-018396 -> VÁLIDO
CÓDIGO: FAC-Z-524683 -> VÁLIDO
CÓDIGO: ENV-2025-10-24-106812 -> VÁLIDO
CÓDIGO: FAC-E-121464 -> VÁLIDO
CÓDIGO: ENV-2029-11-26-252283 -> VÁLIDO
CÓDIGO: FAC-E-42718 -> VÁLIDO
CÓDIGO: FAC-C-994456 -> VÁLIDO
CÓDIGO: DEP-82740-BR -> VÁLIDO
CÓDIGO: ROB-0128-ES -> VÁLIDO
CÓDIGO: EMP-LOG-5378 -> VÁLIDO
CÓDIGO: FAC-D-502214 -> VÁLIDO
CÓDIGO: FAC-C-997278 -> VÁLIDO
CÓDIGO: FAC-A-821315 -> VÁLIDO
CÓDIGO: FAC-E-925660 -> VÁLIDO
CÓDIGO: FAC-E-306844 -> VÁLIDO
CÓDIGO: ENV-2029-06-11-461043 -> VÁLIDO
CÓDIGO: FAC-E-896927 -> VÁLIDO
CÓDIGO: FAC-D-127295 -> VÁLIDO
CÓDIGO: ENV-2024-04-15-621002 -> VÁLIDO
CÓDIGO: HOG-7422-US -> VÁLIDO
CÓDIGO: ENV-2026-17-14-103977 -> VÁLIDO
CÓDIGO: AUT-2726-Q -> VÁLIDO
CÓDIGO: HOG-1177-CO -> VÁLIDO
CÓDIGO: EMP-ABC-4637 -> VÁLIDO
CÓDIGO: EMP-ADM-4110 -> VÁLIDO
CÓDIGO: FAC-D-799323 -> VÁLIDO
CÓDIGO: EMP-TEC-4347 -> VÁLIDO
CÓDIGO: MED-0820-ES -> VÁLIDO
CÓDIGO: ENV-2025-11-23-128445 -> VÁLIDO
CÓDIGO: EMP-VEN-7603 -> VÁLIDO
CÓDIGO: EMP-RHH-69724 -> VÁLIDO
CÓDIGO: ENV-2025-04-23-057811 -> VÁLIDO
CÓDIGO: ENV-2030-12-04-833663 -> VÁLIDO
CÓDIGO: FAC-D-452506 -> VÁLIDO
CÓDIGO: ENV-2010-02-07-665944 -> VÁLIDO
CÓDIGO: TEC-2034-CO -> VÁLIDO
CÓDIGO: ENV-2024-01-10-210430 -> VÁLIDO
CÓDIGO: ENV-2023-11-10-409779 -> VÁLIDO
CÓDIGO: EMP-LOG-8010 -> VÁLIDO
CÓDIGO: EMP-TEC-6489 -> VÁLIDO
CÓDIGO: EMP-ADM-765 -> VÁLIDO
CÓDIGO: FAC-D-197034 -> VÁLIDO
CÓDIGO: FAC-C-691531 -> VÁLIDO
CÓDIGO: ENV-2029-01-19-908928 -> VÁLIDO
CÓDIGO: DEP-5189-BR -> VÁLIDO
CÓDIGO: FAC-c-383204 -> VÁLIDO
CÓDIGO: tec-0737-CO -> VÁLIDO
CÓDIGO: ENV-2027-11-07-026404 -> VÁLIDO
CÓDIGO: FAC-A-294168 -> VÁLIDO
CÓDIGO: FAC-E-180972 -> VÁLIDO
CÓDIGO: MED-9374-BR -> VÁLIDO
CÓDIGO: FAC-E-09785 -> VÁLIDO
CÓDIGO: ROB-6345-ES -> VÁLIDO
CÓDIGO: EMP-VEN-5624 -> VÁLIDO
CÓDIGO: FAC-D-79197 -> VÁLIDO
CÓDIGO: ENV-2027-01-22-935775 -> VÁLIDO
CÓDIGO: EMP-TEC-8619 -> VÁLIDO
CÓDIGO: ENV-2025-07-20-761320 -> VÁLIDO
CÓDIGO: ENV-2018-05-26-988716 -> VÁLIDO
CÓDIGO: ELE-4031-CAJ -> VÁLIDO
CÓDIGO: ENV-2020-07-08-030548 -> VÁLIDO
CÓDIGO: EMP-ABC-9612 -> VÁLIDO
CÓDIGO: FAC-b-770763 -> VÁLIDO
CÓDIGO: TEC-9296-CA -> VÁLIDO
CÓDIGO: EMP-ABC-7065 -> VÁLIDO
CÓDIGO: dep-5798-BR -> VÁLIDO
CÓDIGO: EMP-VEN-7385 -> VÁLIDO
CÓDIGO: EMP-TEC-1514 -> VÁLIDO
CÓDIGO: EMP-TEC-9241 -> VÁLIDO
CÓDIGO: aut-3298-US -> VÁLIDO
CÓDIGO: FAC-C-893822 -> VÁLIDO
CÓDIGO: FAC-B-773592 -> VÁLIDO
CÓDIGO: EMP-TEC-9686 -> VÁLIDO
CÓDIGO: FAC-A-972375 -> VÁLIDO
CÓDIGO: FAC-A-924229 -> VÁLIDO
CÓDIGO: ENV-2021-11-24-80588 -> VÁLIDO
CÓDIGO: FAC-B-9934134 -> VÁLIDO
CÓDIGO: ROB-6015-US -> VÁLIDO
CÓDIGO: EMP-TEC-13047 -> VÁLIDO
CÓDIGO: EMP-LOG-7594 -> VÁLIDO
CÓDIGO: FAC-D-30915 -> VÁLIDO
CÓDIGO: EMP-TEC-9647 -> VÁLIDO
CÓDIGO: SHP-2027-12-21-032866 -> VÁLIDO
CÓDIGO: TEC-88949-CO -> VÁLIDO
CÓDIGO: FAC-C-164439 -> VÁLIDO
CÓDIGO: SHP-2029-10-09-525999 -> VÁLIDO
CÓDIGO: ENV-2020-03-18-840020 -> VÁLIDO
CÓDIGO: EMP-ADM-9515 -> VÁLIDO
CÓDIGO: ROB-0677-CO -> VÁLIDO
CÓDIGO: EMP-VEN-2854 -> VÁLIDO
CÓDIGO: ENV-2025-02-07-458292 -> VÁLIDO
CÓDIGO: AUT-5079-MX -> VÁLIDO
CÓDIGO: ENV-2022-09-04-885941 -> VÁLIDO
CÓDIGO: ROB-1746-AR -> VÁLIDO
CÓDIGO: EMP-RHH-3519 -> VÁLIDO
CÓDIGO: med-9596-ES -> VÁLIDO
CÓDIGO: EMP-ven-6838 -> VÁLIDO
CÓDIGO: DEP-5696-MX -> VÁLIDO
CÓDIGO: FAC-E-800925 -> VÁLIDO
CÓDIGO: SHP-2027-04-14-083034 -> VÁLIDO
CÓDIGO: FAC-E-219746 -> VÁLIDO
CÓDIGO: FAC-C-932849 -> VÁLIDO
CÓDIGO: DEP-8392-AR -> VÁLIDO
CÓDIGO: ENV-2030-06-24-786436 -> VÁLIDO
CÓDIGO: EMP-adm-1661 -> VÁLIDO
CÓDIGO: EMP-ADM-9086 -> VÁLIDO
CÓDIGO: EMP-TEC-7784 -> VÁLIDO
CÓDIGO: SHP-2023-12-02-903681 -> VÁLIDO
CÓDIGO: ENV-2029-10-22-231025 -> VÁLIDO
CÓDIGO: ENV-2021-12-38-935554 -> VÁLIDO
CÓDIGO: ELE-1921-US -> VÁLIDO
CÓDIGO: EMP-LOG-9483 -> VÁLIDO
CÓDIGO: ENV-2037-09-01-710970 -> VÁLIDO
CÓDIGO: EMP-TEC-1811 -> VÁLIDO
CÓDIGO: TEC-7265-MX -> VÁLIDO
CÓDIGO: ENV-2026-10-23-472722 -> VÁLIDO
CÓDIGO: HOG-4970-CA -> VÁLIDO
CÓDIGO: ROB-4219-AR -> VÁLIDO
CÓDIGO: HOG-7064-US -> VÁLIDO
CÓDIGO: INV-B-842091 -> VÁLIDO
CÓDIGO: HOG-9751-E -> VÁLIDO
CÓDIGO: FAC-E-034872 -> VÁLIDO
CÓDIGO: ENV-2020-07-04-470787 -> VÁLIDO
CÓDIGO: EMP-LOG-3277 -> VÁLIDO
CÓDIGO: MED-4259-BR -> VÁLIDO
CÓDIGO: EMP-TEC-7037 -> VÁLIDO
CÓDIGO: ENV-2023-10-09-004606 -> VÁLIDO
CÓDIGO: ele-4216-CO -> VÁLIDO
CÓDIGO: FAC-B-899535 -> VÁLIDO
CÓDIGO: ELE-5974-BR -> VÁLIDO
CÓDIGO: EMP-ADM-5037 -> VÁLIDO
CÓDIGO: FAC-E-519537 -> VÁLIDO
CÓDIGO: EMP-VEN-2252 -> VÁLIDO
CÓDIGO: FAC-B-932305 -> VÁLIDO
CÓDIGO: EMP-VEN-0483 -> VÁLIDO
CÓDIGO: EMP-VEN-9382 -> VÁLIDO
CÓDIGO: ENV-2022-18-09-398643 -> VÁLIDO
CÓDIGO: FAC-d-704344 -> VÁLIDO
CÓDIGO: ENV-2026-02-01-790421 -> VÁLIDO
CÓDIGO: ENV-2023-05-21-045384 -> VÁLIDO
CÓDIGO: ENV-2020-05-09-213698 -> VÁLIDO
CÓDIGO: ALI-5913-MX -> VÁLIDO
CÓDIGO: EMP-VEN-694 -> VÁLIDO
CÓDIGO: ENV-2027-05-15-472841 -> VÁLIDO
CÓDIGO: FAC-A-531403 -> VÁLIDO
CÓDIGO: EMP-LOG-4871 -> VÁLIDO
CÓDIGO: ENV-2022-11-02-676063 -> VÁLIDO
CÓDIGO: ENV-2022-06-08-562487 -> VÁLIDO
CÓDIGO: DEP-4294-ES -> VÁLIDO
CÓDIGO: FAC-C-283820 -> VÁLIDO
CÓDIGO: MEDA-5066-CA -> VÁLIDO
CÓDIGO: ENV-2022-04-18-129485 -> VÁLIDO
CÓDIGO: EMP-ADM-7588 -> VÁLIDO
CÓDIGO: FAC-D-339267 -> VÁLIDO
CÓDIGO: ENV-2021-10-05-190748 -> VÁLIDO
CÓDIGO: ENV-2018-11-06-521294 -> VÁLIDO
CÓDIGO: ENV-2029-07-23-949948 -> VÁLIDO
CÓDIGO: EMP-LOG-306 -> VÁLIDO
CÓDIGO: EMP-ADM-6324 -> VÁLIDO
CÓDIGO: ENV-2025-04-03-867538 -> VÁLIDO
CÓDIGO: ali-1330-US -> VÁLIDO
CÓDIGO: FAC-B-3667837 -> VÁLIDO
CÓDIGO: EMP-RHH-6097 -> VÁLIDO
CÓDIGO: FAC-B-731623 -> VÁLIDO
CÓDIGO: FAC-B-813815 -> VÁLIDO
CÓDIGO: ROB-3318-FR -> VÁLIDO
CÓDIGO: ENV-2028-01-03-261342 -> VÁLIDO
CÓDIGO: ELE-7233-CO -> VÁLIDO
CÓDIGO: FAC-D-027888 -> VÁLIDO
CÓDIGO: EMP-VEN-1690 -> VÁLIDO
CÓDIGO: FAC-E-668459 -> VÁLIDO
CÓDIGO: ENV-2023-11-07-52326 -> VÁLIDO
CÓDIGO: EMP-LOG-3031 -> VÁLIDO
CÓDIGO: SHP-2026-01-14-096412 -> VÁLIDO
CÓDIGO: ROB-5193-US -> VÁLIDO
CÓDIGO: EMP-RHH-9650 -> VÁLIDO
CÓDIGO: FAC-B-557933 -> VÁLIDO
CÓDIGO: ALI-6107-FR -> VÁLIDO
CÓDIGO: ENV-2020-06-13-24855 -> VÁLIDO
CÓDIGO: FAC-A-695856 -> VÁLIDO
CÓDIGO: ENV-2020-01-03-275481 -> VÁLIDO
CÓDIGO: EMP-ADM-3052 -> VÁLIDO
CÓDIGO: AUT-85498-MX -> VÁLIDO
CÓDIGO: EMP-TEC-9793 -> VÁLIDO
CÓDIGO: EMP-ADM-7704 -> VÁLIDO
CÓDIGO: AUT-0447-USM -> VÁLIDO
CÓDIGO: ENV-2023-07-25-858006 -> VÁLIDO
CÓDIGO: EMP-RHH-695 -> VÁLIDO
CÓDIGO: EMP-VEN-8527 -> VÁLIDO
CÓDIGO: INV-D-140632 -> VÁLIDO
CÓDIGO: EMP-TEC-7566 -> VÁLIDO
CÓDIGO: MED-2844-CA -> VÁLIDO
CÓDIGO: EMP-TEC-2621 -> VÁLIDO
CÓDIGO: FAC-B-276195 -> VÁLIDO
CÓDIGO: ENV-2020-01-15-723947 -> VÁLIDO
CÓDIGO: ENV-2024-09-08-807984 -> VÁLIDO
CÓDIGO: EMP-VEN-3662 -> VÁLIDO
CÓDIGO: FAC-B-003143 -> VÁLIDO
CÓDIGO: EMP-ADM-2510 -> VÁLIDO
CÓDIGO: FAC-A-672689 -> VÁLIDO
CÓDIGO: ENV-2026-10-05-180160 -> VÁLIDO
CÓDIGO: ENV-2029-12-09-468308 -> VÁLIDO
CÓDIGO: ROB-5618-CA -> VÁLIDO
CÓDIGO: FAC-B-577265 -> VÁLIDO
CÓDIGO: EMP-TEC-4236 -> VÁLIDO
CÓDIGO: ENV-2021-02-11-886066 -> VÁLIDO
CÓDIGO: FAC-A-945249 -> VÁLIDO
CÓDIGO: ENV-2032-09-01-824738 -> VÁLIDO
CÓDIGO: SHP-2024-08-22-289742 -> VÁLIDO
CÓDIGO: ENV-2022-09-16-583898 -> VÁLIDO
CÓDIGO: FAC-c-192517 -> VÁLIDO
CÓDIGO: EMP-TEC-97672 -> VÁLIDO
CÓDIGO: EMP-RHH-878 -> VÁLIDO
CÓDIGO: FAC-B-559608 -> VÁLIDO
CÓDIGO: EMP-RHH-3751 -> VÁLIDO
CÓDIGO: FAC-X-822741 -> VÁLIDO
CÓDIGO: FAC-E-622976 -> VÁLIDO
CÓDIGO: FAC-D-390617 -> VÁLIDO
CÓDIGO: ENV-2024-07-26-650153 -> VÁLIDO
CÓDIGO: SHP-2027-11-08-221376 -> VÁLIDO
CÓDIGO: EMP-RHH-9323 -> VÁLIDO
CÓDIGO: ENV-2029-03-21-299078 -> VÁLIDO
CÓDIGO: TEC-617-AR -> VÁLIDO
CÓDIGO: TECP-4201-BR -> VÁLIDO
CÓDIGO: ENV-2029-06-15-71886 -> VÁLIDO
CÓDIGO: MED-7048-AR -> VÁLIDO
CÓDIGO: FAC-E-8532323 -> VÁLIDO
CÓDIGO: ENV-2026-04-01-656138 -> VÁLIDO
CÓDIGO: ROB-74293-US -> VÁLIDO
CÓDIGO: SHP-2024-06-13-439526 -> VÁLIDO
CÓDIGO: AUT-8087-BR -> VÁLIDO
CÓDIGO: ROB-64858-CO -> VÁLIDO
CÓDIGO: ELE-3790-CO -> VÁLIDO
CÓDIGO: ENV-2028-01-28-326887 -> VÁLIDO
CÓDIGO: MED-6614-MX -> VÁLIDO
CÓDIGO: MED-2678-US -> VÁLIDO
CÓDIGO: ENV-2024-10-05-851006 -> VÁLIDO
CÓDIGO: EMP-TEC-8973 -> VÁLIDO
CÓDIGO: ENV-2021-08-22-643800 -> VÁLIDO
CÓDIGO: HOG-8665-AR -> VÁLIDO
CÓDIGO: MED-8467-CAH -> VÁLIDO
CÓDIGO: EMP-ADM-9447 -> VÁLIDO
CÓDIGO: ENV-2025-03-04-896466 -> VÁLIDO
CÓDIGO: ENV-2030-04-21-286927 -> VÁLIDO
CÓDIGO: ENV-2020-06-27-221732 -> VÁLIDO
CÓDIGO: FAC-A-995053 -> VÁLIDO
CÓDIGO: ROB-2894-MX -> VÁLIDO
CÓDIGO: EMP-ADM-2618 -> VÁLIDO
CÓDIGO: FAC-E-975156 -> VÁLIDO
CÓDIGO: ENV-2027-03-22-818327 -> VÁLIDO
CÓDIGO: MED-4239-CO -> VÁLIDO
CÓDIGO: TEC-20877-BR -> VÁLIDO
CÓDIGO: FAC-A-388633 -> VÁLIDO
CÓDIGO: ENV-2029-09-05-823077 -> VÁLIDO
CÓDIGO: FAC-B-941680 -> VÁLIDO
CÓDIGO: AUT-9154-FR -> VÁLIDO
CÓDIGO: med-0838-MX -> VÁLIDO
CÓDIGO: DEP-7989-CA -> VÁLIDO
CÓDIGO: TEC-3992-ES -> VÁLIDO
CÓDIGO: FAC-D-168139 -> VÁLIDO
CÓDIGO: ALI-2271-MX -> VÁLIDO
CÓDIGO: EMP-LOG-6888 -> VÁLIDO
CÓDIGO: EMP-ADM-6488 -> VÁLIDO
CÓDIGO: EMP-LOG-9907 -> VÁLIDO
CÓDIGO: MED-4334-CO -> VÁLIDO
CÓDIGO: ENV-2022-01-18-920244 -> VÁLIDO
CÓDIGO: EMP-ven-7867 -> VÁLIDO
CÓDIGO: ENV-2024-09-22-53432 -> VÁLIDO
CÓDIGO: ALI-0882-BR -> VÁLIDO
CÓDIGO: ENV-2029-06-24-933809 -> VÁLIDO
CÓDIGO: EMP-ven-1717 -> VÁLIDO
CÓDIGO: ENV-2029-08-21-807991 -> VÁLIDO
CÓDIGO: HOG-6565-FR -> VÁLIDO
CÓDIGO: EMP-VEN-2077 -> VÁLIDO
CÓDIGO: FAC-B-037120 -> VÁLIDO
CÓDIGO: EMP-VEN-0184 -> VÁLIDO
CÓDIGO: MED-0447-W -> VÁLIDO
CÓDIGO: FAC-A-178942 -> VÁLIDO
CÓDIGO: MED-9384-MXR -> VÁLIDO
CÓDIGO: AUT-3744-CA -> VÁLIDO
CÓDIGO: MED-8273-CO -> VÁLIDO
CÓDIGO: ENV-2034-08-21-694024 -> VÁLIDO
CÓDIGO: ENV-2017-06-08-343980 -> VÁLIDO
CÓDIGO: FAC-E-338960 -> VÁLIDO
CÓDIGO: ALI-7196-R -> VÁLIDO
CÓDIGO: TEC-7364-FR -> VÁLIDO
CÓDIGO: ROB-2745-CA -> VÁLIDO
CÓDIGO: DEP-6069-AR -> VÁLIDO
CÓDIGO: ROB-7413-AR -> VÁLIDO
CÓDIGO: rob-2830-CA -> VÁLIDO
CÓDIGO: ELE-8508-AR -> VÁLIDO
CÓDIGO: DEP-2723-BR -> VÁLIDO
CÓDIGO: FAC-C-931473 -> VÁLIDO
CÓDIGO: EMP-ADM-3385 -> VÁLIDO
CÓDIGO: ENV-2026-04-23-554763 -> VÁLIDO
CÓDIGO: EMP-TEC-6549 -> VÁLIDO
CÓDIGO: EMP-ADM-0542 -> VÁLIDO
CÓDIGO: EMP-log-4347 -> VÁLIDO
CÓDIGO: MED-5308-AR -> VÁLIDO
CÓDIGO: AUT-8788-AR -> VÁLIDO
CÓDIGO: ENV-2028-06-16-295351 -> VÁLIDO
CÓDIGO: ENV-2023-03-21-335242 -> VÁLIDO
CÓDIGO: ENV-2018-06-05-212641 -> VÁLIDO
CÓDIGO: EMP-LOG-611 -> VÁLIDO
CÓDIGO: EMP-log-9912 -> VÁLIDO
CÓDIGO: ENV-2030-08-01-007326 -> VÁLIDO
CÓDIGO: EMP-RHH-6476 -> VÁLIDO
CÓDIGO: FAC-A-870158 -> VÁLIDO
CÓDIGO: ENV-2028-08-28-656170 -> VÁLIDO
CÓDIGO: DEP-0577-N -> VÁLIDO
CÓDIGO: FAC-E-888250 -> VÁLIDO
CÓDIGO: ENV-2028-05-14-029165 -> VÁLIDO
CÓDIGO: ENV-2028-05-14-025189 -> VÁLIDO
CÓDIGO: EMP-LOG-0829 -> VÁLIDO
CÓDIGO: ELE-1678-BR -> VÁLIDO
CÓDIGO: EMP-LOG-7297 -> VÁLIDO
CÓDIGO: EMP-TEC-3421 -> VÁLIDO
CÓDIGO: ENV-2035-03-13-537203 -> VÁLIDO
CÓDIGO: EMP-TEC-6985 -> VÁLIDO
CÓDIGO: EMP-VEN-0095 -> VÁLIDO
CÓDIGO: HOG-7130-ES -> VÁLIDO
CÓDIGO: EMP-LOG-4897 -> VÁLIDO
CÓDIGO: AUT-5022-CO -> VÁLIDO
CÓDIGO: ENV-2026-05-15-546674 -> VÁLIDO
CÓDIGO: FAC-E-157202 -> VÁLIDO
CÓDIGO: ENV-2025-08-09-278886 -> VÁLIDO
CÓDIGO: ROB-3736-MX -> VÁLIDO
CÓDIGO: EMP-ZZZ-2283 -> VÁLIDO
CÓDIGO: ali-9853-CA -> VÁLIDO
CÓDIGO: ENV-2026-04-07-094887 -> VÁLIDO
CÓDIGO: ALI-9364-CO -> VÁLIDO
CÓDIGO: FAC-D-740446 -> VÁLIDO
CÓDIGO: DEP-5820-CA -> VÁLIDO
CÓDIGO: EMP-ADM-2825 -> VÁLIDO
CÓDIGO: EMP-TEC-5077 -> VÁLIDO
CÓDIGO: EMP-rhh-1737 -> VÁLIDO
CÓDIGO: ROB-6875-H -> VÁLIDO
CÓDIGO: EMP-RHH-6561 -> VÁLIDO
CÓDIGO: FAC-b-563735 -> VÁLIDO
CÓDIGO: EMP-LOG-5533 -> VÁLIDO
CÓDIGO: ALI-441-ES -> VÁLIDO
CÓDIGO: DEP-8100-MX -> VÁLIDO
CÓDIGO: EMP-VEN-9037 -> VÁLIDO
CÓDIGO: ENV-2030-18-26-490811 -> VÁLIDO
CÓDIGO: ENV-2015-05-07-963660 -> VÁLIDO
CÓDIGO: EMP-TEC-7558 -> VÁLIDO
CÓDIGO: INV-A-346138 -> VÁLIDO
CÓDIGO: ENV-2030-11-04-954937 -> VÁLIDO
CÓDIGO: ENV-2020-11-12-686661 -> VÁLIDO
CÓDIGO: FAC-B-452436 -> VÁLIDO
CÓDIGO: EMP-RHH-1037 -> VÁLIDO
CÓDIGO: FAC-A-425168 -> VÁLIDO
CÓDIGO: ROB-5492-COG -> VÁLIDO
CÓDIGO: EMP-VEN-8353 -> VÁLIDO
CÓDIGO: EMP-rhh-2332 -> VÁLIDO
CÓDIGO: INV-B-834327 -> VÁLIDO
CÓDIGO: ENV-2031-02-08-445224 -> VÁLIDO
CÓDIGO: ENV-2026-05-22-348806 -> VÁLIDO
CÓDIGO: ALI-1051-AR -> VÁLIDO
CÓDIGO: INV-C-927248 -> VÁLIDO
CÓDIGO: ENV-2028-12-04-876917 -> VÁLIDO
CÓDIGO: TEC-8173-CO -> VÁLIDO
CÓDIGO: FAC-E-14634 -> VÁLIDO
CÓDIGO: DEP-3152-BR -> VÁLIDO
CÓDIGO: EMP-ADM-3187 -> VÁLIDO
CÓDIGO: ENV-2023-04-26-90853 -> VÁLIDO
CÓDIGO: ENV-2024-04-09-241104 -> VÁLIDO
CÓDIGO: ALI-0233-AR -> VÁLIDO
CÓDIGO: EMP-RHH-3593 -> VÁLIDO
CÓDIGO: ELE-3700-US -> VÁLIDO
CÓDIGO: MED-0735-C -> VÁLIDO
CÓDIGO: ENV-2024-06-08-369845 -> VÁLIDO
CÓDIGO: FAC-B-691977 -> VÁLIDO
CÓDIGO: ENV-2026-11-10-517766 -> VÁLIDO
CÓDIGO: ENV-2023-11-05-145850 -> VÁLIDO
CÓDIGO: FAC-B-610601 -> VÁLIDO
CÓDIGO: FAC-E-994327 -> VÁLIDO
CÓDIGO: FAC-E-265482 -> VÁLIDO
CÓDIGO: FAC-C-586120 -> VÁLIDO
CÓDIGO: ENV-2022-05-18-867268 -> VÁLIDO
CÓDIGO: ENV-2028-10-10-622469 -> VÁLIDO
CÓDIGO: EMP-VEN-8470 -> VÁLIDO
CÓDIGO: EMP-ZZZ-9567 -> VÁLIDO
CÓDIGO: FAC-C-186612 -> VÁLIDO
CÓDIGO: EMP-RHH-7812 -> VÁLIDO
CÓDIGO: FAC-C-47636 -> VÁLIDO
CÓDIGO: ENV-2010-02-28-522022 -> VÁLIDO
CÓDIGO: EMP-RHH-65552 -> VÁLIDO
CÓDIGO: TEC-396-AR -> VÁLIDO
CÓDIGO: EMP-TEC-8084 -> VÁLIDO
CÓDIGO: MED-17423-MX -> VÁLIDO
CÓDIGO: MED-9012-FR -> VÁLIDO
CÓDIGO: FAC-B-59106 -> VÁLIDO
CÓDIGO: FAC-A-269446 -> VÁLIDO
CÓDIGO: MED-1841-V -> VÁLIDO
CÓDIGO: FAC-C-073982 -> VÁLIDO
CÓDIGO: ENV-2029-13-01-326702 -> VÁLIDO
CÓDIGO: EMP-ADM-6280 -> VÁLIDO
CÓDIGO: DEP-4474-FR -> VÁLIDO
CÓDIGO: EMP-RHH-7902 -> VÁLIDO
CÓDIGO: HOG-7463-AR -> VÁLIDO
CÓDIGO: FAC-b-277676 -> VÁLIDO
CÓDIGO: ENV-2025-12-28-85050 -> VÁLIDO
CÓDIGO: EMP-TEC-4293 -> VÁLIDO
CÓDIGO: ELE-963-BR -> VÁLIDO
CÓDIGO: EMP-VEN-5882 -> VÁLIDO
CÓDIGO: ENV-2024-10-25-412973 -> VÁLIDO
CÓDIGO: EMP-VEN-4656 -> VÁLIDO
CÓDIGO: FAC-B-029166 -> VÁLIDO
CÓDIGO: ENV-2022-01-09-440231 -> VÁLIDO
CÓDIGO: ENV-2028-01-10-808874 -> VÁLIDO
CÓDIGO: EMP-TEC-2819 -> VÁLIDO
CÓDIGO: INV-E-059235 -> VÁLIDO
CÓDIGO: AUTT-1109-US -> VÁLIDO
CÓDIGO: EMP-TEC-899 -> VÁLIDO
CÓDIGO: FAC-C-773349 -> VÁLIDO
CÓDIGO: ENV-2037-10-12-241041 -> VÁLIDO
CÓDIGO: ENV-2029-08-20-489527 -> VÁLIDO
CÓDIGO: EMP-LOG-3919 -> VÁLIDO
CÓDIGO: INV-E-378868 -> VÁLIDO
CÓDIGO: EMP-ADM-4041 -> VÁLIDO
CÓDIGO: ENV-2027-06-11-325320 -> VÁLIDO
