=== REPORTE DE INVENTARIO ===

PRODUCTOS:

[SKU00002] Multicontacto | Categoría: Energia | Precio: $384.76 | Stock: 56
[SKU00107] Monitor Curvo Acer | Categoría: Electronica | Precio: $9941.26 | Stock: 20
[SKU00108] Monitor Lenovo | Categoría: Electronica | Precio: $7776.23 | Stock: 2
[SKU00109] Barra Sonido MSI | Categoría: Audio | Precio: $4695.33 | Stock: 45
[SKU00110] Audifonos Bluetooth TP-Link | Categoría: Audio | Precio: $682.15 | Stock: 126
[SKU00111] Mouse Ergonomico Lenovo | Categoría: Accesorios | Precio: $546.67 | Stock: 13
[SKU00112] Router | Categoría: Redes | Precio: $1887.85 | Stock: 3
[SKU00113] MacBook Asus | Categoría: Electronica | Precio: $39970.81 | Stock: 11
[SKU00114] Bocina Razer | Categoría: Audio | Precio: $745.9 | Stock: 92
[SKU00115] Control Gaming | Categoría: Gaming | Precio: $567.69 | Stock: 9
[SKU00116] MicroSD Corsair | Categoría: Almacenamiento | Precio: $637.32 | Stock: 26
[SKU00117] Chromebook WD | Categoría: Electronica | Precio: $7250.12 | Stock: 11
[SKU00118] Laptop Logitech | Categoría: Electronica | Precio: $18866.49 | Stock: 19
[SKU00119] Laptop Seagate | Categoría: Electronica | Precio: $18866.36 | Stock: 0
[SKU00121] Pantalla Portatil Razer | Categoría: Electronica | Precio: $4969.76 | Stock: 3
[SKU00122] Barra Sonido Samsung | Categoría: Audio | Precio: $6880.01 | Stock: 125
[SKU00123] Monitor Gaming SanDisk | Categoría: Electronica | Precio: $14756.65 | Stock: 1
[SKU00124] Monitor Logitech | Categoría: Electronica | Precio: $8726.22 | Stock: 138
[SKU00125] USB Drive MSI | Categoría: Almacenamiento | Precio: $258.46 | Stock: 61
[SKU00126] Bocina Samsung | Categoría: Audio | Precio: $1073.07 | Stock: 3
[SKU00127] MacBook Acer | Categoría: Electronica | Precio: $30483.76 | Stock: 26
[SKU00128] Barra Sonido HP | Categoría: Audio | Precio: $2726.45 | Stock: 58
[SKU00130] HDD Externo BenQ | Categoría: Almacenamiento | Precio: $3757.27 | Stock: 19
[SKU00131] Touchpad Razer | Categoría: Accesorios | Precio: $2000.71 | Stock: 11
[SKU00132] Bocina WD | Categoría: Audio | Precio: $1877.63 | Stock: 18
[SKU00133] NAS LG | Categoría: Almacenamiento | Precio: $20248.64 | Stock: 2
[SKU00134] SSD BenQ | Categoría: Almacenamiento | Precio: $1319.18 | Stock: 44
[SKU00135] Pantalla Portatil WD | Categoría: Electronica | Precio: $8588.17 | Stock: 31
[SKU00136] Audifonos Bluetooth HP | Categoría: Audio | Precio: $1075.32 | Stock: 18
[SKU00137] Teclado Gaming Corsair | Categoría: Accesorios | Precio: $3070.5 | Stock: 59
[SKU00138] Pantalla Portatil Xiaomi | Categoría: Electronica | Precio: $3019.44 | Stock: 96
[SKU00139] HDD HP | Categoría: Almacenamiento | Precio: $935.96 | Stock: 30
[SKU00140] Monitor Curvo | Categoría: Electronica | Precio: $12158.89 | Stock: 1
[SKU00141] HDD Xiaomi | Categoría: Almacenamiento | Precio: $1379.34 | Stock: 4
[SKU00142] Audifonos Gaming Logitech | Categoría: Audio | Precio: $1341.07 | Stock: 1
[SKU00143] MicroSD BenQ | Categoría: Almacenamiento | Precio: $550.49 | Stock: 52
[SKU00144] Stylus Gigabyte | Categoría: Accesorios | Precio: $615.73 | Stock: 48
[SKU00145] SSD Dell | Categoría: Almacenamiento | Precio: $3292.17 | Stock: 0
[SKU00146] Microfono USB SanDisk | Categoría: Audio | Precio: $2031.35 | Stock: 46
[SKU00147] Chromebook Dell | Categoría: Electronica | Precio: $9994.61 | Stock: 59
[SKU00148] USB Drive Samsung | Categoría: Almacenamiento | Precio: $77.84 | Stock: 41
[SKU00149] HDD Corsair | Categoría: Almacenamiento | Precio: $594.07 | Stock: 31
[SKU00150] MacBook Anker | Categoría: Electronica | Precio: $45774.7 | Stock: 45
[SKU00151] Barra Sonido SanDisk | Categoría: Audio | Precio: $3356.07 | Stock: 9
[SKU00152] HDD Gigabyte | Categoría: Almacenamiento | Precio: $1036.81 | Stock: 62
[SKU00153] Mouse SanDisk | Categoría: Accesorios | Precio: $219.72 | Stock: 34
[SKU00155] Laptop | Categoría: Electronica | Precio: $19153.77 | Stock: 11
[SKU00156] HDD Externo Seagate | Categoría: Almacenamiento | Precio: $3654.4 | Stock: 15
[SKU00157] HDD Externo Logitech | Categoría: Almacenamiento | Precio: $812.63 | Stock: 9
[SKU00158] Mouse Lenovo | Categoría: Accesorios | Precio: $245.02 | Stock: 54
[SKU00159] Procesador Acer | Categoría: Componentes | Precio: $17874.73 | Stock: 60
[SKU00160] Cargador | Categoría: Accesorios | Precio: $193.56 | Stock: 44
[SKU00161] Mouse Ergonomico Razer | Categoría: Accesorios | Precio: $314.72 | Stock: 81
[SKU00163] Cargador | Categoría: Accesorios | Precio: $167.52 | Stock: 11
[SKU00164] Procesador Kingston | Categoría: Componentes | Precio: $6636.27 | Stock: 12
[SKU00165] Audifonos Bluetooth Xiaomi | Categoría: Audio | Precio: $1836.83 | Stock: 27
[SKU00166] Audifonos Bluetooth Razer | Categoría: Audio | Precio: $2857.55 | Stock: 47
[SKU00167] Teclado Mecanico LG | Categoría: Accesorios | Precio: $3705.73 | Stock: 29
[SKU00168] Cartucho Tinta | Categoría: Impresion | Precio: $698.39 | Stock: 2
[SKU00169] HDD Xiaomi | Categoría: Almacenamiento | Precio: $1523.83 | Stock: 39
[SKU00170] Router | Categoría: Redes | Precio: $890.84 | Stock: 2
[SKU00171] Microfono Kingston | Categoría: Audio | Precio: $2125.11 | Stock: 67
[SKU00172] Teclado Mecanico Acer | Categoría: Accesorios | Precio: $3705.72 | Stock: 13
[SKU00173] Chromebook Gigabyte | Categoría: Electronica | Precio: $12242.24 | Stock: 46
[SKU00174] Gabinete | Categoría: Componentes | Precio: $612.53 | Stock: 21
[SKU00175] SSD Dell | Categoría: Almacenamiento | Precio: $3420.25 | Stock: 55
[SKU00176] Teclado Mecanico Apple | Categoría: Accesorios | Precio: $2922.2 | Stock: 9
[SKU00177] Audifonos Bluetooth Canon | Categoría: Audio | Precio: $1804.77 | Stock: 15
[SKU00178] Notebook TP-Link | Categoría: Electronica | Precio: $9601.51 | Stock: 38
[SKU00179] Procesador BenQ | Categoría: Componentes | Precio: $11816.18 | Stock: 23
[SKU00180] Pantalla Portatil BenQ | Categoría: Electronica | Precio: $2423.94 | Stock: 3
[SKU00181] Monitor 4K SanDisk | Categoría: Electronica | Precio: $23864.61 | Stock: 13
[SKU00182] Mouse Ergonomico Epson | Categoría: Accesorios | Precio: $1355.71 | Stock: 38
[SKU00183] Extension Electrica | Categoría: Energia | Precio: $265.42 | Stock: 24
[SKU00184] NAS | Categoría: Almacenamiento | Precio: $10328.47 | Stock: 10
[SKU00185] RAM Gigabyte | Categoría: Componentes | Precio: $1110.57 | Stock: 7
[SKU00186] Ultrabook MSI | Categoría: Electronica | Precio: $17335.19 | Stock: 67
[SKU00188] Audifonos Xiaomi | Categoría: Audio | Precio: $472.63 | Stock: 32
[SKU00189] Barra Sonido | Categoría: Audio | Precio: $5488.66 | Stock: 47
[SKU00190] USB Drive TP-Link | Categoría: Almacenamiento | Precio: $295.36 | Stock: 63
[SKU00192] Audifonos Corsair | Categoría: Audio | Precio: $442.0 | Stock: 13
[SKU00193] Webcam HD | Categoría: Video | Precio: $641.81 | Stock: 11
[SKU00194] Fuente Poder Canon | Categoría: Componentes | Precio: $2480.9 | Stock: 16
[SKU00196] Laptop SanDisk | Categoría: Electronica | Precio: $18542.3 | Stock: 6
[SKU00197] Chromebook Dell | Categoría: Electronica | Precio: $8174.57 | Stock: 29
[SKU00199] Pantalla Portatil HyperX | Categoría: Electronica | Precio: $7069.17 | Stock: 18
[SKU00200] Laptop Razer | Categoría: Electronica | Precio: $14182.5 | Stock: 65
[SKU00201] Procesador Canon | Categoría: Componentes | Precio: $11210.86 | Stock: 66
[SKU00202] SSD Corsair | Categoría: Almacenamiento | Precio: $2634.07 | Stock: 4
[SKU00203] Pantalla Portatil Asus | Categoría: Electronica | Precio: $3504.95 | Stock: 43
[SKU00204] Pantalla Portatil Razer | Categoría: Electronica | Precio: $4838.73 | Stock: 45
[SKU00205] Bocina SanDisk | Categoría: Audio | Precio: $865.16 | Stock: 30
[SKU00206] Audifonos Gaming Anker | Categoría: Audio | Precio: $952.66 | Stock: 33
[SKU00207] Chromebook Samsung | Categoría: Electronica | Precio: $6567.85 | Stock: 143
[SKU00208] Stylus WD | Categoría: Accesorios | Precio: $658.09 | Stock: 8
[SKU00209] HDD Kingston | Categoría: Almacenamiento | Precio: $1074.13 | Stock: 38
[SKU00210] RAM Gigabyte | Categoría: Componentes | Precio: $1826.56 | Stock: 21
[SKU00211] Audifonos SanDisk | Categoría: Audio | Precio: $570.13 | Stock: 5
[SKU00213] Teclado MSI | Categoría: Accesorios | Precio: $1532.26 | Stock: 15
[SKU00214] Touchpad Dell | Categoría: Accesorios | Precio: $1893.27 | Stock: 46
[SKU00215] Mouse Gaming Xiaomi | Categoría: Accesorios | Precio: $1272.2 | Stock: 147
[SKU00216] HDD Externo Seagate | Categoría: Almacenamiento | Precio: $1936.0 | Stock: 60
[SKU00217] Audifonos Xiaomi | Categoría: Audio | Precio: $258.92 | Stock: 47
[SKU00218] Laptop Gigabyte | Categoría: Electronica | Precio: $13474.34 | Stock: 35
[SKU00219] Teclado Gaming Lenovo | Categoría: Accesorios | Precio: $1151.63 | Stock: 136
[SKU00220] HDD Externo Anker | Categoría: Almacenamiento | Precio: $1799.27 | Stock: 19
[SKU00221] Chromebook Corsair | Categoría: Electronica | Precio: $5223.54 | Stock: 34
[SKU00223] Mouse Ergonomico HyperX | Categoría: Accesorios | Precio: $682.8 | Stock: 64
[SKU00224] Monitor Curvo MSI | Categoría: Electronica | Precio: $9984.28 | Stock: 129
[SKU00225] Pantalla Portatil Lenovo | Categoría: Electronica | Precio: $5241.69 | Stock: 48
[SKU00226] Mouse Gaming HP | Categoría: Accesorios | Precio: $1463.49 | Stock: 5
[SKU00227] Teclado Gaming Canon | Categoría: Accesorios | Precio: $1838.68 | Stock: 68
[SKU00228] Audifonos Gigabyte | Categoría: Audio | Precio: $584.86 | Stock: 24
[SKU00229] Touchpad HP | Categoría: Accesorios | Precio: $1115.61 | Stock: 8
[SKU00230] Bocina Bluetooth Razer | Categoría: Audio | Precio: $2666.16 | Stock: 35
[SKU00231] SSD Epson | Categoría: Almacenamiento | Precio: $2233.59 | Stock: 2
[SKU00232] Impresora Laser | Categoría: Impresion | Precio: $4615.28 | Stock: 4
[SKU00233] RAM Sony | Categoría: Componentes | Precio: $2402.96 | Stock: 5
[SKU00234] Ultrabook Logitech | Categoría: Electronica | Precio: $35367.19 | Stock: 21
[SKU00235] Monitor 4K WD | Categoría: Electronica | Precio: $20709.72 | Stock: 10
[SKU00236] SSD Externo Kingston | Categoría: Almacenamiento | Precio: $1896.75 | Stock: 23
[SKU00237] Monitor Curvo BenQ | Categoría: Electronica | Precio: $18145.09 | Stock: 9
[SKU00238] Laptop Gigabyte | Categoría: Electronica | Precio: $11247.41 | Stock: 5
[SKU00239] Teclado Mecanico Samsung | Categoría: Accesorios | Precio: $2002.45 | Stock: 15
[SKU00240] Stylus Lenovo | Categoría: Accesorios | Precio: $2115.02 | Stock: 30
[SKU00241] Monitor Curvo Seagate | Categoría: Electronica | Precio: $15170.03 | Stock: 10
[SKU00242] HDD Razer | Categoría: Almacenamiento | Precio: $655.95 | Stock: 43
[SKU00243] Mouse Logitech | Categoría: Accesorios | Precio: $413.46 | Stock: 6
[SKU00244] MacBook Samsung | Categoría: Electronica | Precio: $19213.56 | Stock: 6
[SKU00245] HDD LG | Categoría: Almacenamiento | Precio: $1939.05 | Stock: 39
[SKU00246] SSD Externo TP-Link | Categoría: Almacenamiento | Precio: $2681.4 | Stock: 15
[SKU00247] Ultrabook Anker | Categoría: Electronica | Precio: $24201.15 | Stock: 27
[SKU00248] HDD Lenovo | Categoría: Almacenamiento | Precio: $2782.22 | Stock: 32
[SKU00249] Microfono USB Asus | Categoría: Audio | Precio: $2157.21 | Stock: 11
[SKU00250] Bocina Bluetooth Razer | Categoría: Audio | Precio: $2863.3 | Stock: 10
[SKU00251] Audifonos Gaming Samsung | Categoría: Audio | Precio: $2662.6 | Stock: 0
[SKU00252] Teclado MSI | Categoría: Accesorios | Precio: $1572.0 | Stock: 31
[SKU00253] USB Drive LG | Categoría: Almacenamiento | Precio: $303.87 | Stock: 34
[SKU00254] Mouse Ergonomico | Categoría: Accesorios | Precio: $982.35 | Stock: 6
[SKU00255] Teclado Anker | Categoría: Accesorios | Precio: $1284.65 | Stock: 8
[SKU00256] Microfono WD | Categoría: Audio | Precio: $1061.95 | Stock: 116
[SKU00257] Mouse Ergonomico LG | Categoría: Accesorios | Precio: $963.59 | Stock: 66
[SKU00260] SSD Externo Canon | Categoría: Almacenamiento | Precio: $1474.13 | Stock: 17
[SKU00261] Laptop Samsung | Categoría: Electronica | Precio: $15401.59 | Stock: 134
[SKU00263] Mouse Xiaomi | Categoría: Accesorios | Precio: $406.67 | Stock: 21
[SKU00264] Microfono USB HP | Categoría: Audio | Precio: $2143.8 | Stock: 1
[SKU00265] Procesador Apple | Categoría: Componentes | Precio: $15493.63 | Stock: 105
[SKU00266] Monitor Gaming MSI | Categoría: Electronica | Precio: $14741.07 | Stock: 7
[SKU00267] Audifonos WD | Categoría: Audio | Precio: $459.13 | Stock: 13
[SKU00268] Notebook Samsung | Categoría: Electronica | Precio: $19819.79 | Stock: 48
[SKU00270] Microfono USB Kingston | Categoría: Audio | Precio: $1042.74 | Stock: 12
[SKU00271] MacBook Lenovo | Categoría: Electronica | Precio: $34989.43 | Stock: 20
[SKU00273] USB Drive Dell | Categoría: Almacenamiento | Precio: $73.14 | Stock: 12
[SKU00275] MicroSD Asus | Categoría: Almacenamiento | Precio: $940.16 | Stock: 45
[SKU00276] NAS Gigabyte | Categoría: Almacenamiento | Precio: $6637.48 | Stock: 12
[SKU00277] Licencia Windows | Categoría: Software | Precio: $2990.7 | Stock: 1
[SKU00278] Teclado Gaming WD | Categoría: Accesorios | Precio: $4344.97 | Stock: 8
[SKU00279] Microfono WD | Categoría: Audio | Precio: $837.73 | Stock: 22
[SKU00280] iPad | Categoría: Electronica | Precio: $25924.39 | Stock: 4
[SKU00281] Monitor Epson | Categoría: Electronica | Precio: $11799.55 | Stock: 20
[SKU00282] Microfono USB Acer | Categoría: Audio | Precio: $956.39 | Stock: 52
[SKU00283] Bocina Bluetooth Logitech | Categoría: Audio | Precio: $3045.54 | Stock: 17
[SKU00284] Audifonos Bluetooth Xiaomi | Categoría: Audio | Precio: $1097.6 | Stock: 46
[SKU00285] RAM Apple | Categoría: Componentes | Precio: $2321.24 | Stock: 23
[SKU00286] Stylus Seagate | Categoría: Accesorios | Precio: $1106.01 | Stock: 23
[SKU00288] Bocina Xiaomi | Categoría: Audio | Precio: $1569.59 | Stock: 30
[SKU00291] Mouse Gaming Seagate | Categoría: Accesorios | Precio: $1616.55 | Stock: 13
[SKU00292] SSD Externo Canon | Categoría: Almacenamiento | Precio: $1674.75 | Stock: 60
[SKU00293] Mouse Gaming MSI | Categoría: Accesorios | Precio: $1493.35 | Stock: 22
[SKU00294] HDD Externo | Categoría: Almacenamiento | Precio: $2350.55 | Stock: 0
[SKU00295] Teclado Gaming BenQ | Categoría: Accesorios | Precio: $4728.96 | Stock: 35
[SKU00296] Stylus | Categoría: Accesorios | Precio: $1452.76 | Stock: 28
[SKU00297] Repetidor WiFi | Categoría: Redes | Precio: $1718.1 | Stock: 22
[SKU00298] Microfono Canon | Categoría: Audio | Precio: $2409.55 | Stock: 114
[SKU00299] Mouse Corsair | Categoría: Accesorios | Precio: $249.87 | Stock: 4
[SKU00300] Teclado Gaming HP | Categoría: Accesorios | Precio: $1496.6 | Stock: 61
[SKU00301] Pantalla Portatil Seagate | Categoría: Electronica | Precio: $3925.94 | Stock: 1
[SKU00302] MicroSD Anker | Categoría: Almacenamiento | Precio: $679.23 | Stock: 29
[SKU00303] Laptop | Categoría: Electronica | Precio: $15773.14 | Stock: 19
[SKU00304] Monitor Curvo Samsung | Categoría: Electronica | Precio: $11815.05 | Stock: 78
[SKU00305] Microfono Samsung | Categoría: Audio | Precio: $927.85 | Stock: 8
[SKU00306] Mouse Gaming Lenovo | Categoría: Accesorios | Precio: $1741.97 | Stock: 5
[SKU00307] Monitor Gaming WD | Categoría: Electronica | Precio: $12580.53 | Stock: 35
[SKU00308] Teclado Sony | Categoría: Accesorios | Precio: $690.28 | Stock: 6
[SKU00309] Pantalla Portatil Epson | Categoría: Electronica | Precio: $5588.14 | Stock: 38
[SKU00310] HDD Externo Gigabyte | Categoría: Almacenamiento | Precio: $2040.82 | Stock: 4
[SKU00311] Microfono USB Dell | Categoría: Audio | Precio: $1222.83 | Stock: 7
[SKU00312] Touchpad Apple | Categoría: Accesorios | Precio: $1900.13 | Stock: 73
[SKU00313] Microfono | Categoría: Audio | Precio: $3128.91 | Stock: 75
[SKU00315] Microfono USB Asus | Categoría: Audio | Precio: $1781.8 | Stock: 87
[SKU00316] HDD Apple | Categoría: Almacenamiento | Precio: $1092.07 | Stock: 69
[SKU00318] Laptop Sony | Categoría: Electronica | Precio: $9860.92 | Stock: 4
[SKU00319] Pantalla Portatil Corsair | Categoría: Electronica | Precio: $4762.46 | Stock: 26
[SKU00320] MicroSD Dell | Categoría: Almacenamiento | Precio: $541.48 | Stock: 9
[SKU00322] Audifonos Bluetooth BenQ | Categoría: Audio | Precio: $2287.59 | Stock: 15
[SKU00323] Laptop Xiaomi | Categoría: Electronica | Precio: $15581.08 | Stock: 7
[SKU00324] Monitor 4K SanDisk | Categoría: Electronica | Precio: $13140.05 | Stock: 13
[SKU00325] Monitor 4K Lenovo | Categoría: Electronica | Precio: $18272.77 | Stock: 12
[SKU00326] SSD Externo Logitech | Categoría: Almacenamiento | Precio: $1911.43 | Stock: 77
[SKU00327] Pantalla Portatil Seagate | Categoría: Electronica | Precio: $3738.78 | Stock: 36
[SKU00328] Laptop HP | Categoría: Electronica | Precio: $7622.73 | Stock: 41
[SKU00329] Pantalla Portatil Canon | Categoría: Electronica | Precio: $7753.76 | Stock: 37
[SKU00330] USB Drive WD | Categoría: Almacenamiento | Precio: $225.06 | Stock: 24
[SKU00331] RAM Epson | Categoría: Componentes | Precio: $1473.29 | Stock: 25
[SKU00333] Microfono LG | Categoría: Audio | Precio: $1015.06 | Stock: 5
[SKU00334] SSD Externo Apple | Categoría: Almacenamiento | Precio: $3086.25 | Stock: 29
[SKU00335] Laptop Seagate | Categoría: Electronica | Precio: $17218.54 | Stock: 32
[SKU00337] Teclado Razer | Categoría: Accesorios | Precio: $1486.0 | Stock: 12
[SKU00338] Audifonos Logitech | Categoría: Audio | Precio: $668.53 | Stock: 8
[SKU00339] Monitor Anker | Categoría: Electronica | Precio: $10495.52 | Stock: 42
[SKU00340] Monitor Curvo Samsung | Categoría: Electronica | Precio: $12620.81 | Stock: 51
[SKU00341] MacBook Xiaomi | Categoría: Electronica | Precio: $27375.54 | Stock: 33
[SKU00342] Chromebook Epson | Categoría: Electronica | Precio: $11836.56 | Stock: 28
[SKU00343] Microfono USB Sony | Categoría: Audio | Precio: $1502.16 | Stock: 33
[SKU00344] SSD | Categoría: Almacenamiento | Precio: $1087.0 | Stock: 18
[SKU00345] Teclado Gaming Anker | Categoría: Accesorios | Precio: $1418.71 | Stock: 10
[SKU00346] Chromebook Asus | Categoría: Electronica | Precio: $7501.01 | Stock: 9
[SKU00347] Bocina HyperX | Categoría: Audio | Precio: $585.07 | Stock: 12
